1442005670413	0	B	Logging Begins
1442005670413	0	INSTRUCTIONSTART	JointRoller	fonts/Verdana.ttf	30	(1.000000, 1.000000, 1.000000, 1.000000)	'In this study, words will appear on the computer screen.  As each word is shown please say it aloud.\n\nAfter the last word in each list, you will see a series of math problems.  Please perform the math problems to the best of your ability.\n\nAfter the math problems, a row of asterisks (*******) will flash on the screen and you will hear a tone.  At this time, say as many words as you can remember from the list, IN ANY ORDER.  When you are done recalling, press the space bar.\n'
1442005670421	1	INSTRUCTIONSCROLL	0
1442005678422	1	INSTRUCTIONSCROLL	3
1442005678455	1	INSTRUCTIONSCROLL	10
1442005678489	1	INSTRUCTIONSCROLL	16
1442005678638	1	INSTRUCTIONSCROLL	20
1442005678671	1	INSTRUCTIONSCROLL	26
1442005678704	1	INSTRUCTIONSCROLL	33
1442005678738	1	INSTRUCTIONSCROLL	39
1442005678771	1	INSTRUCTIONSCROLL	46
1442005678804	1	INSTRUCTIONSCROLL	53
1442005678838	1	INSTRUCTIONSCROLL	59
1442005678871	1	INSTRUCTIONSCROLL	66
1442005678904	1	INSTRUCTIONSCROLL	73
1442005678938	1	INSTRUCTIONSCROLL	79
1442005678971	1	INSTRUCTIONSCROLL	86
1442005679005	1	INSTRUCTIONSCROLL	93
1442005679039	1	INSTRUCTIONSCROLL	99
1442005679072	1	INSTRUCTIONSCROLL	106
1442005679105	1	INSTRUCTIONSCROLL	113
1442005679139	1	INSTRUCTIONSCROLL	119
1442005679172	1	INSTRUCTIONSCROLL	126
1442005679205	1	INSTRUCTIONSCROLL	133
1442005679239	1	INSTRUCTIONSCROLL	140
1442005679272	1	INSTRUCTIONSCROLL	146
1442005679306	1	INSTRUCTIONSCROLL	153
1442005679339	1	INSTRUCTIONSCROLL	160
1442005679372	1	INSTRUCTIONSCROLL	166
1442005679405	1	INSTRUCTIONSCROLL	173
1442005679439	1	INSTRUCTIONSCROLL	180
1442005679472	1	INSTRUCTIONSCROLL	186
1442005679505	1	INSTRUCTIONSCROLL	190
1442005687839	1	INSTRUCTIONSTOP	Button set (OR)
1442005687841	0	E	Logging Ends
